"place","address","phone","number","review","url"
"Pilbrow Surveying Limited","54 Scott Rd,NA,Te Kauwhata,3710","0274979717","1603","0","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/45/images/BANNER/BSMALL?v=5)"
"Indelible Creative Studio","Level 1,12/1 Dickens Street,Napier South,Napier,4110","068422383","85","0","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/1272/images/BANNER/BSMALL?v=1)"
"Massey University School of Aviation","Massey University,University Avenue,Turitea,Palmerston North,4442","0800 627739","27","5","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/367/images/TILE/TILE?v=1)"
"Interpine Innovation","Interpine Innovation,99 Sala Street,Whakarewarewa,Rotorua,3010","073503209","2070","0","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/421/images/BANNER/BSMALL?v=3)"
"Phylogeny","288 Glengarry Road,Glen Eden,Auckland,0602","0274077692","50","0","none"
"Cuetone Aerial NZ","Elgin Street,Grey Lynn,Auckland,1021","+642102166748","279","5","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/1270/images/TILE/TILE?v=5)"
"Helicam PRO","18 Braithwaite Street,Ilam,Christchurch,8041","0274203713","278","0","https://app.airshare.co.nz/app/api/drupal/v0/marketplace/listings/68/images/BANNER/BSMALL?v=5)"
"Skyspy Limited","728 Te Rerenga Rd2,Coromandel,Coromandel,3582","021 151 1914","174","5","none"
"Agdrone Ltd","66 Wikitoria RD,Putiki,Whanganui,4501","0274428322","5","2","none"
